game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
201410290SAC,2015,SAC,GSW,0,6,Ben McLemore,Darren Collison,DeMarcus Cousins,Jason Thompson,Rudy Gay,Andrew Bogut,Draymond Green,Harrison Barnes,Klay Thompson,Stephen Curry,14,4,5,14,5,0,0,3,2,0,13,8,5,4,10,0.35714285714285715,0.35714285714285715,0.0,12,3,5,8,4,4,1,4,1,0,6,6,0,3,11,0.4166666666666667,0.5,0.25,-1
201410290SAC,2015,SAC,GSW,7,7,Ben McLemore,Darren Collison,DeMarcus Cousins,Jason Thompson,Rudy Gay,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry,3,0,1,2,1,1,0,0,0,0,2,1,1,0,2,0.3333333333333333,0.5,0.0,2,0,1,1,1,1,0,0,0,0,1,1,0,1,2,0.5,1.0,0.0,-1
201410290SAC,2015,SAC,GSW,8,8,Carl Landry,Darren Collison,DeMarcus Cousins,Nik Stauskas,Rudy Gay,Andre Iguodala,Festus Ezeli,Klay Thompson,Marreese Speights,Stephen Curry,2,0,1,2,1,0,0,1,0,0,1,1,0,0,2,0.5,0.5,0.0,2,0,1,2,1,0,0,1,0,0,1,1,0,0,2,0.5,0.5,0.0,-1
201410290SAC,2015,SAC,GSW,9,9,Carl Landry,Darren Collison,DeMarcus Cousins,Derrick Williams,Nik Stauskas,Andre Iguodala,Festus Ezeli,Klay Thompson,Marreese Speights,Stephen Curry,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,-1
201410290SAC,2015,SAC,GSW,10,10,Carl Landry,Derrick Williams,Nik Stauskas,Ramon Sessions,Reggie Evans,Andre Iguodala,Festus Ezeli,Klay Thompson,Marreese Speights,Stephen Curry,3,2,0,3,0,0,0,0,1,0,2,0,2,0,0,0.0,0.0,0.0,2,0,2,2,2,0,0,1,0,0,1,1,0,0,4,1.0,1.0,0.0,-1
201410290SAC,2015,SAC,GSW,11,11,Carl Landry,Derrick Williams,Nik Stauskas,Ramon Sessions,Reggie Evans,Andre Iguodala,Festus Ezeli,Klay Thompson,Leandro Barbosa,Marreese Speights,3,0,2,2,1,1,1,1,1,0,2,1,1,0,5,0.6666666666666666,0.5,1.0,2,0,1,1,1,1,0,1,0,0,0,0,0,0,2,0.5,1.0,0.0,1
201410290SAC,2015,SAC,GSW,12,12,Carl Landry,Derrick Williams,Nik Stauskas,Ramon Sessions,Reggie Evans,Andre Iguodala,Justin Holiday,Leandro Barbosa,Marreese Speights,Ognjen Kuzmic,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0.0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,-1
201410290SAC,2015,SAC,GSW,13,15,Carl Landry,Derrick Williams,Nik Stauskas,Ramon Sessions,Reggie Evans,Andre Iguodala,Andrew Bogut,Justin Holiday,Leandro Barbosa,Marreese Speights,8,2,3,6,3,2,0,1,1,0,6,1,5,2,6,0.375,0.5,0.0,3,0,2,2,2,1,0,2,0,0,0,0,0,1,4,0.6666666666666666,1.0,0.0,1
201410290SAC,2015,SAC,GSW,16,16,Carl Landry,Derrick Williams,Nik Stauskas,Ramon Sessions,Reggie Evans,Andre Iguodala,Andrew Bogut,Draymond Green,Klay Thompson,Stephen Curry,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,5,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,-1
201410290SAC,2015,SAC,GSW,17,17,DeMarcus Cousins,Jason Thompson,Nik Stauskas,Ramon Sessions,Rudy Gay,Andre Iguodala,Andrew Bogut,Draymond Green,Klay Thompson,Stephen Curry,0,2,0,0,0,0,0,0,0,0,1,1,0,2,0,0.0,0.0,0.0,2,1,1,2,1,0,0,0,0,0,1,0,1,0,2,0.5,0.5,0.0,-1
201410290SAC,2015,SAC,GSW,18,18,Ben McLemore,Darren Collison,DeMarcus Cousins,Jason Thompson,Rudy Gay,Andrew Bogut,Draymond Green,Harrison Barnes,Klay Thompson,Stephen Curry,2,2,0,1,0,1,0,0,0,0,3,2,1,0,0,0.0,0.0,0.0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,-1
201410290SAC,2015,SAC,GSW,19,19,Ben McLemore,Darren Collison,DeMarcus Cousins,Jason Thompson,Rudy Gay,Draymond Green,Festus Ezeli,Harrison Barnes,Klay Thompson,Stephen Curry,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,1,2,0,1,0,0,0,0,0,0,3,2,1,1,0,0.0,0.0,0.0,-1
